timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1506463352.411,24.902,36.133,26.855,26.855,-0.488,0
1506463352.415,30.273,36.133,27.832,26.367,-24.414,0
1506463352.419,23.926,27.832,19.043,18.066,0.000,0
1506463352.422,18.066,23.926,14.160,12.695,26.855,0
1506463352.426,12.695,25.391,18.555,17.090,-13.672,0
1506463352.430,13.672,32.227,22.949,26.367,-19.043,0
1506463352.434,21.484,36.133,23.926,27.832,37.598,0
1506463352.438,23.926,33.203,22.949,27.344,35.645,0
1506463352.442,18.066,33.691,26.855,27.344,2.441,0
1506463352.446,11.719,35.645,32.715,30.762,-1.465,0
1506463352.450,14.160,37.109,32.715,35.645,14.648,0
1506463352.454,15.137,36.621,28.809,32.715,17.578,0
1506463352.458,23.438,43.945,38.574,40.527,6.836,0
1506463352.462,29.785,46.875,40.039,40.039,-11.719,0
1506463352.465,26.367,40.039,29.785,33.203,-7.812,0
1506463352.469,25.879,35.645,23.926,33.691,-8.789,0
1506463352.473,22.461,27.344,14.160,23.438,-10.254,0
1506463352.477,23.438,25.391,12.695,17.090,10.742,0
1506463352.481,26.855,30.762,19.531,20.020,5.859,0
1506463352.485,24.902,26.855,16.113,19.043,-6.836,0
1506463352.489,36.133,35.156,21.484,28.320,0.977,0
1506463352.493,43.457,42.969,32.227,35.156,2.930,0
1506463352.497,35.645,34.668,25.879,28.809,-3.418,0
1506463352.501,32.227,29.297,20.020,25.879,-6.836,0
1506463352.505,31.250,27.344,18.066,22.461,-5.371,0
1506463352.508,27.832,24.902,14.648,19.531,13.184,0
1506463352.512,30.762,29.785,23.438,26.855,10.742,0
1506463352.516,34.180,30.273,24.414,28.320,4.395,0
1506463352.520,28.809,20.508,8.301,15.625,18.066,0
1506463352.524,30.273,21.973,11.719,16.602,33.203,0
1506463352.528,32.227,32.715,23.926,31.738,22.949,0
1506463352.532,31.250,32.715,22.461,32.715,5.371,0
1506463352.536,37.109,34.668,24.902,33.203,6.836,0
1506463352.540,40.527,38.574,28.320,37.598,23.926,0
1506463352.544,34.180,31.738,21.973,33.691,12.207,0
1506463352.547,31.738,26.367,14.648,28.320,0.000,0
1506463352.551,33.691,24.902,10.742,22.949,-28.809,0
1506463352.555,37.109,25.391,12.695,22.461,-4.395,0
1506463352.559,39.062,24.902,14.160,19.043,-16.113,0
1506463352.563,35.156,24.902,13.184,16.113,-28.809,0
1506463352.567,32.715,30.762,18.555,23.926,12.207,0
1506463352.571,37.109,38.086,28.320,33.691,-0.488,0
1506463352.575,39.062,42.480,32.227,35.645,-5.371,0
1506463352.579,34.180,38.574,26.855,27.832,-15.137,0
1506463352.583,27.832,29.297,20.020,19.531,5.371,0
